category,variant,config_id,param_spec,rep,P,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total,log_file
easy,permuted,R54321,-R 54321,3,4,0.069152,0.012147,5.692928,1.423232,2,30112,artifacts/round1b-20251028_221003/logs/permuted_R54321_easy_rep3.log
med,permuted,R54321,-R 54321,1,4,0.068887,0.019266,3.575573,.893893,0,42005,artifacts/round1b-20251028_221003/logs/permuted_R54321_med_rep1.log
med,permuted,R54321,-R 54321,2,4,0.068887,0.016491,4.177248,1.044312,0,46101,artifacts/round1b-20251028_221003/logs/permuted_R54321_med_rep2.log
med,permuted,R54321,-R 54321,3,4,0.068887,0.023841,2.889434,.722358,0,46101,artifacts/round1b-20251028_221003/logs/permuted_R54321_med_rep3.log
hard,permuted,R54321,-R 54321,1,4,0.068774,0.398719,.172487,.043121,3,971256,artifacts/round1b-20251028_221003/logs/permuted_R54321_hard_rep1.log
hard,permuted,R54321,-R 54321,2,4,0.068774,0.432188,.159129,.039782,3,975352,artifacts/round1b-20251028_221003/logs/permuted_R54321_hard_rep2.log
hard,permuted,R54321,-R 54321,3,4,0.068774,0.461028,.149175,.037293,3,979448,artifacts/round1b-20251028_221003/logs/permuted_R54321_hard_rep3.log
easy,permuted,R98765,-R 98765,1,4,0.069152,0.045885,1.507072,.376768,2,114113,artifacts/round1b-20251028_221003/logs/permuted_R98765_easy_rep1.log
easy,permuted,R98765,-R 98765,2,4,0.069152,0.052377,1.320274,.330068,2,146881,artifacts/round1b-20251028_221003/logs/permuted_R98765_easy_rep2.log
easy,permuted,R98765,-R 98765,3,4,0.069152,0.075346,.917792,.229448,2,163265,artifacts/round1b-20251028_221003/logs/permuted_R98765_easy_rep3.log
med,permuted,R98765,-R 98765,1,4,0.068887,0.099607,.691587,.172896,0,221874,artifacts/round1b-20251028_221003/logs/permuted_R98765_med_rep1.log
med,permuted,R98765,-R 98765,2,4,0.068887,0.091610,.751959,.187989,0,217778,artifacts/round1b-20251028_221003/logs/permuted_R98765_med_rep2.log
med,permuted,R98765,-R 98765,3,4,0.068887,0.092771,.742548,.185637,0,221874,artifacts/round1b-20251028_221003/logs/permuted_R98765_med_rep3.log
hard,permuted,R98765,-R 98765,1,4,0.068774,0.328080,.209625,.052406,3,788923,artifacts/round1b-20251028_221003/logs/permuted_R98765_hard_rep1.log
