mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=10,0.362514,0.074573,4.861196,5,395379,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T10_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=30,0.362514,0.069127,5.244174,5,430918,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T30_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=50,0.362514,0.110844,3.270488,2,499240,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T50_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,permuted,R=12345,0.362514,0.483657,0.749527,,2097152,/home/and/PY2-Paralela/logs/permuted_b21_hard_R12345_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,permuted,R=54321,0.362514,0.408594,0.887223,,2097152,/home/and/PY2-Paralela/logs/permuted_b21_hard_R54321_with_cache.txt
with_cache,21,2097152,0,2097152,hard,460914,8,permuted,R=2025,0.362514,0.651588,0.556355,,2097152,/home/and/PY2-Paralela/logs/permuted_b21_hard_R2025_with_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,naive,,0.408972,0.212992,1.920128,1,1049116,/home/and/PY2-Paralela/logs/naive_b21_hard_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,cyclic,,0.408972,0.038474,10.629828,3,341613,/home/and/PY2-Paralela/logs/cyclic_b21_hard_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,dynamic,B=20000,0.408972,0.071531,5.717409,7,407085,/home/and/PY2-Paralela/logs/dynamic_b21_hard_B20000_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,dynamic,B=50000,0.408972,0.091774,4.456295,4,387682,/home/and/PY2-Paralela/logs/dynamic_b21_hard_B50000_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,dynamic,B=100000,0.408972,0.127146,3.216554,4,613473,/home/and/PY2-Paralela/logs/dynamic_b21_hard_B100000_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=10,0.408972,0.085841,4.764297,1,408541,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T10_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=30,0.408972,0.110373,3.705363,3,501764,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T30_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,dynamic_adaptive,T=50,0.408972,0.125498,3.258793,3,544746,/home/and/PY2-Paralela/logs/dynamic_adaptive_b21_hard_T50_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,permuted,R=12345,0.408972,0.440600,0.928216,,2097152,/home/and/PY2-Paralela/logs/permuted_b21_hard_R12345_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,permuted,R=54321,0.408972,0.356706,1.146524,,2097152,/home/and/PY2-Paralela/logs/permuted_b21_hard_R54321_no_cache.txt
no_cache,21,2097152,0,2097152,hard,460914,8,permuted,R=2025,0.408972,0.643093,0.635945,,2097152,/home/and/PY2-Paralela/logs/permuted_b21_hard_R2025_no_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,naive,,2.136690,0.002254,947.954747,4,671,/home/and/PY2-Paralela/logs/naive_b22_easy_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,cyclic,,2.136690,0.359885,5.937147,0,2069831,/home/and/PY2-Paralela/logs/cyclic_b22_easy_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,dynamic,B=20000,2.136690,0.511381,4.178274,1,2133288,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B20000_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,dynamic,B=50000,2.136690,0.693831,3.079554,2,2175292,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B50000_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,dynamic,B=100000,2.136690,0.791867,2.698294,7,2615548,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B100000_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,dynamic_adaptive,T=10,2.136690,0.434606,4.916384,1,2097153,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_easy_T10_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,dynamic_adaptive,T=30,2.136690,0.464026,4.604677,5,2168054,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_easy_T30_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,dynamic_adaptive,T=50,2.136690,0.489474,4.365278,6,2097153,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_easy_T50_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,permuted,R=12345,2.136690,0.149302,14.311195,4,727021,/home/and/PY2-Paralela/logs/permuted_b22_easy_R12345_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,permuted,R=54321,2.136690,0.017913,119.281527,4,119314,/home/and/PY2-Paralela/logs/permuted_b22_easy_R54321_with_cache.txt
with_cache,22,4194304,0,4194304,easy,2097153,8,permuted,R=2025,2.136690,0.241525,8.846662,5,900069,/home/and/PY2-Paralela/logs/permuted_b22_easy_R2025_with_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,naive,,1.846565,0.002799,659.723115,4,45,/home/and/PY2-Paralela/logs/naive_b22_easy_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,cyclic,,1.846565,0.355588,5.192990,0,1988605,/home/and/PY2-Paralela/logs/cyclic_b22_easy_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,dynamic,B=20000,1.846565,0.497016,3.715303,7,2140431,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B20000_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,dynamic,B=50000,1.846565,0.541346,3.411062,4,2136275,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B50000_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,dynamic,B=100000,1.846565,0.499587,3.696183,2,2139081,/home/and/PY2-Paralela/logs/dynamic_b22_easy_B100000_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,dynamic_adaptive,T=10,1.846565,0.523169,3.529576,3,2108242,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_easy_T10_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,dynamic_adaptive,T=30,1.846565,0.573266,3.221131,2,2174265,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_easy_T30_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,dynamic_adaptive,T=50,1.846565,0.529239,3.489095,4,2156538,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_easy_T50_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,permuted,R=12345,1.846565,0.128341,14.387959,4,792557,/home/and/PY2-Paralela/logs/permuted_b22_easy_R12345_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,permuted,R=54321,1.846565,0.022836,80.862016,4,111122,/home/and/PY2-Paralela/logs/permuted_b22_easy_R54321_no_cache.txt
no_cache,22,4194304,0,4194304,easy,2097153,8,permuted,R=2025,1.846565,0.183710,10.051521,5,863205,/home/and/PY2-Paralela/logs/permuted_b22_easy_R2025_no_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,naive,,2.488650,0.002500,995.460000,5,5040,/home/and/PY2-Paralela/logs/naive_b22_med_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,cyclic,,2.488650,0.553173,4.498864,1,2523664,/home/and/PY2-Paralela/logs/cyclic_b22_med_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,dynamic,B=20000,2.488650,0.795907,3.126810,2,2550481,/home/and/PY2-Paralela/logs/dynamic_b22_med_B20000_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,dynamic,B=50000,2.488650,0.842433,2.954122,3,2720339,/home/and/PY2-Paralela/logs/dynamic_b22_med_B50000_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,dynamic,B=100000,2.488650,0.754606,3.297946,1,2660043,/home/and/PY2-Paralela/logs/dynamic_b22_med_B100000_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,dynamic_adaptive,T=10,2.488650,0.615106,4.045888,6,2644067,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_med_T10_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,dynamic_adaptive,T=30,2.488650,0.647296,3.844686,1,2673710,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_med_T30_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,dynamic_adaptive,T=50,2.488650,0.643430,3.867787,5,2682023,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_med_T50_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,permuted,R=12345,2.488650,0.025301,98.361725,1,121514,/home/and/PY2-Paralela/logs/permuted_b22_med_R12345_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,permuted,R=54321,2.488650,0.018994,131.022955,4,89458,/home/and/PY2-Paralela/logs/permuted_b22_med_R54321_with_cache.txt
with_cache,22,4194304,0,4194304,med,2621440,8,permuted,R=2025,2.488650,0.118354,21.027173,1,655496,/home/and/PY2-Paralela/logs/permuted_b22_med_R2025_with_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,naive,,2.829755,0.003196,885.405194,5,1663,/home/and/PY2-Paralela/logs/naive_b22_med_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,cyclic,,2.829755,0.715454,3.955188,1,2591423,/home/and/PY2-Paralela/logs/cyclic_b22_med_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,dynamic,B=20000,2.829755,0.911948,3.102978,4,2584346,/home/and/PY2-Paralela/logs/dynamic_b22_med_B20000_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,dynamic,B=50000,2.829755,0.854456,3.311762,1,2698237,/home/and/PY2-Paralela/logs/dynamic_b22_med_B50000_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,dynamic,B=100000,2.829755,0.841047,3.364562,6,2627566,/home/and/PY2-Paralela/logs/dynamic_b22_med_B100000_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,dynamic_adaptive,T=10,2.829755,0.744361,3.801590,2,2640597,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_med_T10_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,dynamic_adaptive,T=30,2.829755,0.690042,4.100845,7,2621441,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_med_T30_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,dynamic_adaptive,T=50,2.829755,0.664959,4.255533,2,2734625,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_med_T50_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,permuted,R=12345,2.829755,0.021619,130.892039,1,117418,/home/and/PY2-Paralela/logs/permuted_b22_med_R12345_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,permuted,R=54321,2.829755,0.009936,284.798209,4,64882,/home/and/PY2-Paralela/logs/permuted_b22_med_R54321_no_cache.txt
no_cache,22,4194304,0,4194304,med,2621440,8,permuted,R=2025,2.829755,0.109521,25.837556,1,680072,/home/and/PY2-Paralela/logs/permuted_b22_med_R2025_no_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,naive,,0.850075,0.694424,1.224144,1,3159607,/home/and/PY2-Paralela/logs/naive_b22_hard_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,cyclic,,0.850075,0.146730,5.793464,2,887087,/home/and/PY2-Paralela/logs/cyclic_b22_hard_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,dynamic,B=20000,0.850075,0.206299,4.120597,3,914469,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B20000_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,dynamic,B=50000,0.850075,0.219322,3.875922,2,982587,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B50000_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,dynamic,B=100000,0.850075,0.333246,2.550893,2,1277394,/home/and/PY2-Paralela/logs/dynamic_b22_hard_B100000_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,dynamic_adaptive,T=10,0.850075,0.188169,4.517614,4,938975,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_hard_T10_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,dynamic_adaptive,T=30,0.850075,0.181293,4.688957,7,940981,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_hard_T30_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,dynamic_adaptive,T=50,0.850075,0.203074,4.186036,4,979429,/home/and/PY2-Paralela/logs/dynamic_adaptive_b22_hard_T50_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,permuted,R=12345,0.850075,0.876438,0.969920,,4194304,/home/and/PY2-Paralela/logs/permuted_b22_hard_R12345_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,permuted,R=54321,0.850075,0.882545,0.963209,,4194304,/home/and/PY2-Paralela/logs/permuted_b22_hard_R54321_with_cache.txt
with_cache,22,4194304,0,4194304,hard,921826,8,permuted,R=2025,0.850075,0.975079,0.871801,,4194304,/home/and/PY2-Paralela/logs/permuted_b22_hard_R2025_with_cache.txt
