mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache,24,16777216,0,16777216,easy,8388609,4,naive,,7.898538,0.001582,4992.754741,2,6,/home/and/PY2-Paralela/logs/naive_b24_easy_with_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,cyclic,,7.898538,2.715722,2.908449,0,8389399,/home/and/PY2-Paralela/logs/cyclic_b24_easy_with_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,20000,7.898538,4.643292,1.701064,2,8382002,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B20000_with_cache.txt
with_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,50000,7.898538,3.808661,2.073836,2,8442756,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B50000_with_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,naive,,7.204881,0.001447,4979.185211,2,13,/home/and/PY2-Paralela/logs/naive_b24_easy_no_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,cyclic,,7.204881,2.596216,2.775147,1,8346701,/home/and/PY2-Paralela/logs/cyclic_b24_easy_no_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,20000,7.204881,3.923132,1.836513,1,8383858,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B20000_no_cache.txt
no_cache,24,16777216,0,16777216,easy,8388609,4,dynamic,50000,7.204881,3.801891,1.895078,1,8442758,/home/and/PY2-Paralela/logs/dynamic_b24_easy_B50000_no_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,naive,,8.949331,2.665397,3.357598,2,8571997,/home/and/PY2-Paralela/logs/naive_b24_med_with_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,cyclic,,8.949331,3.304205,2.708467,0,10369613,/home/and/PY2-Paralela/logs/cyclic_b24_med_with_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,dynamic,20000,8.949331,4.760815,1.879790,3,10492155,/home/and/PY2-Paralela/logs/dynamic_b24_med_B20000_with_cache.txt
with_cache,24,16777216,0,16777216,med,10485760,4,dynamic,50000,8.949331,4.672308,1.915398,2,10537060,/home/and/PY2-Paralela/logs/dynamic_b24_med_B50000_with_cache.txt
no_cache,24,16777216,0,16777216,med,10485760,4,naive,,8.961301,2.581319,3.471598,2,8360486,/home/and/PY2-Paralela/logs/naive_b24_med_no_cache.txt
no_cache,24,16777216,0,16777216,med,10485760,4,cyclic,,8.961301,3.266668,2.743254,0,10521384,/home/and/PY2-Paralela/logs/cyclic_b24_med_no_cache.txt
no_cache,24,16777216,0,16777216,med,10485760,4,dynamic,20000,8.961301,4.544279,1.971996,1,10480734,/home/and/PY2-Paralela/logs/dynamic_b24_med_B20000_no_cache.txt
no_cache,24,16777216,0,16777216,med,10485760,4,dynamic,50000,8.961301,4.577273,1.957782,3,10501761,/home/and/PY2-Paralela/logs/dynamic_b24_med_B50000_no_cache.txt
with_cache,24,16777216,0,16777216,hard,3687302,4,naive,,3.163366,4.533719,0.697742,0,14691510,/home/and/PY2-Paralela/logs/naive_b24_hard_with_cache.txt
with_cache,24,16777216,0,16777216,hard,3687302,4,cyclic,,3.163366,1.078661,2.932679,2,3652010,/home/and/PY2-Paralela/logs/cyclic_b24_hard_with_cache.txt
with_cache,24,16777216,0,16777216,hard,3687302,4,dynamic,20000,3.163366,1.637555,1.931762,3,3681110,/home/and/PY2-Paralela/logs/dynamic_b24_hard_B20000_with_cache.txt
with_cache,24,16777216,0,16777216,hard,3687302,4,dynamic,50000,3.163366,1.755147,1.802337,2,3739632,/home/and/PY2-Paralela/logs/dynamic_b24_hard_B50000_with_cache.txt
no_cache,24,16777216,0,16777216,hard,3687302,4,naive,,3.642702,4.566165,0.797760,0,14813715,/home/and/PY2-Paralela/logs/naive_b24_hard_no_cache.txt
no_cache,24,16777216,0,16777216,hard,3687302,4,cyclic,,3.642702,1.073887,3.392072,3,3644960,/home/and/PY2-Paralela/logs/cyclic_b24_hard_no_cache.txt
no_cache,24,16777216,0,16777216,hard,3687302,4,dynamic,20000,3.642702,1.664397,2.188602,3,3675580,/home/and/PY2-Paralela/logs/dynamic_b24_hard_B20000_no_cache.txt
no_cache,24,16777216,0,16777216,hard,3687302,4,dynamic,50000,3.642702,1.632449,2.231434,1,3739632,/home/and/PY2-Paralela/logs/dynamic_b24_hard_B50000_no_cache.txt
with_cache,26,67108864,0,67108864,easy,33554433,4,naive,,28.270091,0.010467,2700.878093,3,805,/home/and/PY2-Paralela/logs/naive_b26_easy_with_cache.txt
with_cache,26,67108864,0,67108864,easy,33554433,4,cyclic,,28.270091,10.568216,2.675011,1,33490725,/home/and/PY2-Paralela/logs/cyclic_b26_easy_with_cache.txt
with_cache,26,67108864,0,67108864,easy,33554433,4,dynamic,20000,28.270091,15.586768,1.813724,3,33587620,/home/and/PY2-Paralela/logs/dynamic_b26_easy_B20000_with_cache.txt
with_cache,26,67108864,0,67108864,easy,33554433,4,dynamic,50000,28.270091,14.977661,1.887484,1,33515612,/home/and/PY2-Paralela/logs/dynamic_b26_easy_B50000_with_cache.txt
no_cache,26,67108864,0,67108864,easy,33554433,4,naive,,29.285713,0.002537,11543.442255,3,4,/home/and/PY2-Paralela/logs/naive_b26_easy_no_cache.txt
no_cache,26,67108864,0,67108864,easy,33554433,4,cyclic,,29.285713,10.783104,2.715889,1,33497900,/home/and/PY2-Paralela/logs/cyclic_b26_easy_no_cache.txt
no_cache,26,67108864,0,67108864,easy,33554433,4,dynamic,20000,29.285713,14.681522,1.994733,3,33558081,/home/and/PY2-Paralela/logs/dynamic_b26_easy_B20000_no_cache.txt
no_cache,26,67108864,0,67108864,easy,33554433,4,dynamic,50000,29.285713,14.944251,1.959664,3,33548650,/home/and/PY2-Paralela/logs/dynamic_b26_easy_B50000_no_cache.txt
with_cache,26,67108864,0,67108864,med,41943040,4,naive,,37.027669,10.781883,3.434249,2,33275048,/home/and/PY2-Paralela/logs/naive_b26_med_with_cache.txt
with_cache,26,67108864,0,67108864,med,41943040,4,cyclic,,37.027669,12.877845,2.875300,0,41797996,/home/and/PY2-Paralela/logs/cyclic_b26_med_with_cache.txt
with_cache,26,67108864,0,67108864,med,41943040,4,dynamic,20000,37.027669,18.778604,1.971801,2,41955841,/home/and/PY2-Paralela/logs/dynamic_b26_med_B20000_with_cache.txt
with_cache,26,67108864,0,67108864,med,41943040,4,dynamic,50000,37.027669,20.080637,1.843949,3,42001620,/home/and/PY2-Paralela/logs/dynamic_b26_med_B50000_with_cache.txt
no_cache,26,67108864,0,67108864,med,41943040,4,naive,,37.669660,10.987195,3.428506,2,33222797,/home/and/PY2-Paralela/logs/naive_b26_med_no_cache.txt
no_cache,26,67108864,0,67108864,med,41943040,4,cyclic,,37.669660,15.943049,2.362764,0,41796198,/home/and/PY2-Paralela/logs/cyclic_b26_med_no_cache.txt
no_cache,26,67108864,0,67108864,med,41943040,4,dynamic,20000,37.669660,20.878517,1.804231,3,41936314,/home/and/PY2-Paralela/logs/dynamic_b26_med_B20000_no_cache.txt
no_cache,26,67108864,0,67108864,med,41943040,4,dynamic,50000,37.669660,21.136364,1.782220,2,42001621,/home/and/PY2-Paralela/logs/dynamic_b26_med_B50000_no_cache.txt
with_cache,26,67108864,0,67108864,hard,14749202,4,naive,,11.054223,17.487641,0.632116,0,58409973,/home/and/PY2-Paralela/logs/naive_b26_hard_with_cache.txt
with_cache,26,67108864,0,67108864,hard,14749202,4,cyclic,,11.054223,4.974592,2.222137,3,14741508,/home/and/PY2-Paralela/logs/cyclic_b26_hard_with_cache.txt
with_cache,26,67108864,0,67108864,hard,14749202,4,dynamic,20000,11.054223,6.806945,1.623962,2,14691758,/home/and/PY2-Paralela/logs/dynamic_b26_hard_B20000_with_cache.txt
with_cache,26,67108864,0,67108864,hard,14749202,4,dynamic,50000,11.054223,8.810450,1.254672,2,14714510,/home/and/PY2-Paralela/logs/dynamic_b26_hard_B50000_with_cache.txt
no_cache,26,67108864,0,67108864,hard,14749202,4,naive,,13.377202,20.270375,0.659939,1,58375903,/home/and/PY2-Paralela/logs/naive_b26_hard_no_cache.txt
no_cache,26,67108864,0,67108864,hard,14749202,4,cyclic,,13.377202,4.714389,2.837526,2,14481199,/home/and/PY2-Paralela/logs/cyclic_b26_hard_no_cache.txt
